iter	Passed	Remaining
822	26858	57991
823	26883	57942
824	26908	57893
825	26935	57848
826	26960	57800
827	26984	57748
828	27015	57712
829	27042	57669
830	27068	57622
831	27091	57569
832	27117	57522
833	27143	57475
834	27167	57426
835	27198	57389
836	27222	57339
837	27245	57286
838	27270	57238
839	27294	57188
840	27319	57140
841	27344	57092
842	27377	57060
843	27401	57011
844	27427	56964
845	27453	56918
846	27480	56876
847	27503	56822
848	27528	56774
849	27553	56727
850	27584	56691
851	27607	56640
852	27636	56600
853	27660	56551
854	27685	56504
855	27710	56456
856	27735	56408
857	27769	56381
858	27793	56330
859	27818	56284
860	27844	56239
861	27871	56194
862	27895	56145
863	27920	56099
864	27954	56071
865	27980	56026
866	28007	55983
867	28033	55937
868	28058	55891
869	28082	55843
870	28105	55792
871	28140	55765
872	28164	55716
873	28191	55673
874	28215	55624
875	28239	55575
876	28267	55535
877	28294	55493
878	28326	55460
879	28351	55413
880	28375	55366
881	28400	55319
882	28427	55276
883	28452	55230
884	28478	55187
885	28511	55157
886	28539	55116
887	28565	55071
888	28590	55026
889	28613	54977
890	28640	54934
891	28667	54891
892	28697	54855
893	28722	54810
894	28749	54768
895	28775	54724
896	28800	54679
897	28823	54630
898	28847	54582
899	28875	54543
900	28908	54512
901	28934	54469
902	28960	54424
903	28986	54382
904	29011	54336
905	29036	54291
906	29062	54247
907	29092	54212
908	29120	54173
909	29145	54127
910	29171	54083
911	29197	54040
912	29222	53996
913	29246	53948
914	29277	53914
915	29306	53878
916	29330	53830
917	29355	53786
918	29379	53739
919	29404	53694
920	29430	53652
921	29459	53615
922	29487	53575
923	29515	53536
924	29543	53497
925	29566	53448
926	29590	53402
927	29617	53362
928	29648	53328
929	29674	53286
930	29697	53239
931	29724	53197
932	29752	53159
933	29777	53115
934	29800	53067
935	29833	53036
936	29862	53000
937	29887	52955
938	29914	52916
939	29940	52873
940	29966	52830
941	29990	52786
942	30023	52756
943	30051	52717
944	30077	52675
945	30102	52630
946	30127	52587
947	30153	52546
948	30178	52502
949	30211	52472
950	30238	52432
951	30265	52391
952	30288	52345
953	30317	52308
954	30345	52270
955	30377	52238
956	30402	52195
957	30426	52150
958	30449	52104
959	30502	52107
960	30525	52061
961	30552	52022
962	30583	51988
963	30611	51950
